name,group,groupStr,delayVar,ss,beha,beha_Bnorm
DMSS041,2,Old,-0.193073232057384,2,0.729166666666667,0.920970935951146
DMSS046,2,Old,-0.831210565003089,2,0.816666666666667,0.937652543935743
DMSS050,2,Old,-0.0629758181225587,2,0.875,0.949770956584271
DMSS051,2,Old,-0.276681755959364,2,0.808333333333333,0.936009514144165
DMSS052,2,Old,-0.577617781470284,2,0.8875,0.952570722423167
DMSS053,2,Old,-0.722876128662786,2,0.933333333333333,0.963970086051883
DMSS054,2,Old,-0.388830170941377,2,0.916666666666667,0.959561772577168
DMSS055,2,Old,0.326392590348621,2,0.883333333333333,0.951626691500835
DMSS056,2,Old,-0.251772865386582,2,0.845833333333333,0.943553064421943
DMSS057,2,Old,-0.317132022301963,2,0.8875,0.952570722423167
DMSS058,2,Old,-0.83909914698189,2,0.866666666666667,0.947953980209921
DMSS059,2,Old,-0.582974426604077,2,0.80625,0.935601237035816
DMSS061,2,Old,-0.0926135913625857,2,0.701923076923077,0.915925354049835
DMSS030,2,Old,-0.255469982606774,4,0.766666666666667,0.927995126563979
DMSS031,2,Old,-0.223278993287128,4,0.833333333333333,0.940992437995793
DMSS032,2,Old,-0.991123374130249,4,0.820652173913043,0.938444325530325
DMSS036,2,Old,-0.463838103208489,4,0.791666666666667,0.932768136006341
DMSS037,2,Old,-0.15146358213231,4,0.730612244897959,0.921239638791366
DMSS038,2,Old,-0.244771200395257,4,0.725,0.92019711655678
DMSS039,2,Old,-0.131049057086527,4,0.816666666666667,0.937652543935743
DMSS040,2,Old,-0.0254085065801151,4,0.679166666666667,0.911724846365051
DMSS041,2,Old,-0.361825740127183,4,0.6625,0.90864769596275
DMSS046,2,Old,-0.766302410348667,4,0.741666666666667,0.923298995527597
DMSS050,2,Old,-0.185073064952592,4,0.795833333333333,0.933573405002712
DMSS051,2,Old,-0.0894780323251428,4,0.7375,0.922521766832679
DMSS052,2,Old,-0.509375692447252,4,0.7625,0.927207914990863
DMSS053,2,Old,-0.161540735579563,4,0.870833333333333,0.948857922625471
DMSS054,2,Old,-0.163706141920519,4,0.883333333333333,0.951626691500835
DMSS055,2,Old,-0.272998160171261,4,0.820833333333333,0.938480412827626
DMSS056,2,Old,-0.237180389814767,4,0.8,0.934381928266896
DMSS057,2,Old,-0.333579594789675,4,0.804166666666667,0.935193897619575
DMSS058,2,Old,-0.185101449920891,4,0.779166666666667,0.930370061428744
DMSS059,2,Old,-0.693687444552816,4,0.75625,0.926030772770824
DMSS061,2,Old,-0.348444910180634,4,0.639423076923077,0.904375412183737
